iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.985,,
10,1.76,,0.0001,2.61
20,0.962,,0.0001,3.062
30,0.715,,0.0001,3.425
40,0.864,,0.0001,3.692
50,0.974,,0.0001,3.862
60,0.967,,0.0001,3.172
70,0.928,,0.0001,3.078
80,0.909,,0.0001,2.806
90,0.945,,0.0001,2.422
100,,0.913,,
100,1.117,,0.0001,2.92
110,0.77,,0.0001,2.922
120,0.847,,0.0001,2.433
130,1.003,,0.0001,2.867
140,1.027,,0.0001,2.93
150,1.168,,0.0001,3.187
160,0.916,,0.0001,3.552
170,0.905,,0.0001,3.14
180,0.898,,0.0001,2.96
190,0.908,,0.0001,3.247
200,,0.881,,
200,0.795,,0.0001,2.355
210,0.727,,0.0001,2.699
220,0.967,,0.0001,3.414
230,1.147,,0.0001,2.586
240,1.13,,0.0001,2.881
250,1.037,,0.0001,2.421
260,0.891,,0.0001,2.102
270,0.771,,0.0001,2.968
280,1.076,,0.0001,2.454
290,0.731,,0.0001,2.782
300,,1.041,,
300,0.911,,0.0001,2.746
